Madeline Large Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,45,Bracelet LB SP,1
Madeline Large Bead Bracelet All Clay,"For a truly artist inspired look, go all the way with an all clay!  Large and small bead combinations offer amazing combinations of our handmade clay designs.  Remember, ALL CLAY means ALL ART!",62,Bracelet LB AC,1
Madeline Large Bead Bracelet with Sterling Silver Rounds,"Less is MORE!  So why not pick up this nicely priced pretty?  Our big, beautiful beads, matched with stunning sterling.  At this price, better grab a stack!",69,Bracelet LB SR,1
Madeline Large Bead Bracelet Bali Sterling Silver,Artisan wrought Bali sterling silver accents the delicate intricacies of our hand designed clay patterns.  Crafted for the individual in you!,93,Bracelet LB BS,1
Madeline Large Bead Bracelet with Swarovski Crystal,"Slip-on ELEGANCE! This is the definitive She Beads bracelet. No collection is complete without #1 stackable stunner. You'll be ""living large"" with beads to match!",98,Bracelet LB CR,1
Madeline Small Bead Necklace with Silver Plate Rounds,The Silver Plate Necklaces are the most affordable of the She Beads necklaces. These necklaces are strung with 3-ply elastic and silver plated findings.,65,Necklace SB SP,1
Madeline Small Bead Necklace All Clay,This hand rolled clay bead necklace is smart and simple.  Remember ALL CLAY means ALL ART!,120,Necklace SB AC,1
Madeline Small Bead Necklace with Sterling Silver Rounds,"Priced right, this necklace combines our small beads, with just the right touch of shine.  Sterling silver rounds create the “luxe look” for less!",125,Necklace SB SR,1
Madeline Small Bead Necklace with Bali Sterling Silver,Add grace and style to any ensemble when you accessorize with a touch of Bali sterling silver.  These intricately crafted spacers perfectly compliment our hand made clay designs.,165,Necklace SB BS,1
Madeline Small Bead Necklace with Swarovski Crystal,Dainty designs and pretty patterns enhanced by tiny crystal spacers.  Perfect when you want to sport a little sparkle!,160,Necklace SB CR,1
Madeline Large Bead Necklace with Silver Plate Rounds,The Silver Plate Necklaces are the most affordable of the She Beads necklaces. These necklaces are strung with 3-ply elastic and silver plated findings.,85,Necklace LB SP,1
Madeline Large Bead Necklace All Clay,"Bigger IS better!  Our large bead necklace offers bigger, bolder designs.  We’ve alternated large and small beads to create this all clay collectible.  Remember, ALL CLAY means ALL ART!",140,Necklace LB AC,1
Madeline Large Bead Necklace with Sterling Silver Rounds,"Priced right, this necklace combines our large beads, with just the right touch of shine.  Sterling silver rounds create the “luxe look” for less!",145,Necklace LB SR,1
Madeline Large Bead Necklace with Bali Sterling Silver,Add grace and style to any ensemble when you accessorize with a touch of Bali sterling silver.  These intricately crafted spacers perfectly compliment our hand made clay designs.,195,Necklace LB BS,1
Madeline Large Bead Necklace with Swarovski Crystal,Bold designs and pretty patterns enhanced by these blinging crystal spacers.  Perfect when you want to brighten your already gleeming smile!,215,Necklace LB CR,1
Madeline Jumbo Bead Necklace with Swarovski Crystal,"Whether you are out for coffee with the girls or at the symphony with the beau, these large beads coupled with Swarovski Crystal make an exquisite necklace for any midsummer night’s dream…",225,Necklace JB CR,1
Madeline Jumbo Bead Necklace with Bali Sterling Silver,"Whether you are out for coffee with the girls or at the symphony with the beau, these large beads coupled with Sterling Silver make an exquisite necklace for any midsummer night’s dream…",240,Necklace JB BS,1
